case,negative_fraction_pct,branch,added_snubber_pf,release_time_ns,release_current_a,release_error_ma,vds_high_at_release_v,minimum_vds_high_after_release_v,time_of_minimum_vds_ns,commutated_voltage_drop_v,maximum_vds_low_after_release_v,current_at_minimum_vds_a,vds_high_at_50ns_v,current_at_50ns_a,natural_zvs_after_release,high_side_admitted,controller_guard_pass
a41_1pct_high_only_0pf,1,high_only,0,1.8363432613700001,-1.25,0.0,11.976238250732422,9.256580352783203,4.679912756273571,2.7196578979492188,2.7240447998046875,-0.0027009083423763514,12.624183654785156,-0.38979673385620117,False,False,True
a41_1pct_high_only_1000pf,1,high_only,1000,1.8363280584400001,-1.25,0.0,11.976246266018336,9.547950744628906,5.994063274341223,2.4282955213894297,2.4327139854431152,-0.0002027302689384669,9.659549713134766,-0.6396685242652893,False,False,True
a41_1pct_high_only_100pf,1,high_only,100,1.836341781,-1.25,0.0,11.976239888091085,9.303085327148438,4.827152219434422,2.6731545609426473,2.6775436401367188,-0.0025937375612556934,11.4815673828125,1.460925817489624,False,False,True
a41_1pct_high_only_2000pf,1,high_only,2000,1.8363128466599998,-1.25,0.0,11.976254432713027,9.670650482177734,7.068183066415245,2.3056039505352928,2.310055732727051,-0.002971513895317912,10.397174835205078,1.7105132341384888,False,False,True
a41_1pct_high_only_250pf,1,high_only,250,1.83633948857,-1.25,0.0,11.976242065429688,9.362117767333984,5.0417047560964,2.614124298095703,2.6185154914855957,-0.000555282982531935,9.387340545654297,-0.15227365493774414,False,False,True
a41_1pct_high_only_500pf,1,high_only,500,1.83633566898,-1.25,0.0,11.976242163242409,9.440093994140625,5.375249581155817,2.536148169101784,2.540553092956543,-0.0028540727216750383,12.40579605102539,-0.5811378955841064,False,False,True
a41_1pct_high_only_50pf,1,high_only,50,1.83634261934,-1.25,0.0,11.976238250732422,9.28061294555664,4.754135863899177,2.6956253051757812,2.7000136375427246,-0.0026560307014733553,12.432880401611328,0.7620630860328674,False,False,True
a41_1pct_symmetric_0pf,1,symmetric,0,1.8363432613700001,-1.25,0.0,11.976238250732422,9.256580352783203,4.679912756273571,2.7196578979492188,2.7240447998046875,-0.0027009083423763514,12.624183654785156,-0.38979673385620117,False,False,True
a41_1pct_symmetric_1000pf,1,symmetric,1000,1.8363127268,-1.25,0.0,11.976253753297815,9.670642852783203,7.067269275446278,2.305610900514612,2.3100218772888184,-0.0038155121728777885,10.39688491821289,1.7102857828140259,False,False,True
a41_1pct_symmetric_100pf,1,symmetric,100,1.83634023033,-1.25,0.0,11.976241010927819,9.343585968017578,4.969721305801929,2.6326550429102404,2.637042999267578,-0.002982212696224451,9.579551696777344,0.7794221043586731,False,False,True
a41_1pct_symmetric_2000pf,1,symmetric,2000,1.83628257277,-1.25,0.0,11.976272583007812,9.782764434814453,8.848359103943746,2.1935081481933594,2.197936534881592,-0.003264498198404908,11.860088348388672,1.5155136585235596,False,False,True
a41_1pct_symmetric_250pf,1,symmetric,250,1.83633562988,-1.25,0.0,11.976242065429688,9.439933776855469,5.3755707754261435,2.5363082885742188,2.540700674057007,-0.0027173911221325397,12.406036376953125,-0.5809188485145569,False,False,True
a41_1pct_symmetric_500pf,1,symmetric,500,1.83632806253,-1.25,0.0,11.976246228501097,9.547935485839844,5.992049630602649,2.428310742661253,2.432708263397217,-0.0021921652369201183,9.65960693359375,-0.6398835182189941,False,False,True
a41_1pct_symmetric_50pf,1,symmetric,50,1.83634175858,-1.25,0.0,11.976238250732422,9.303035736083984,4.827832507663407,2.6732025146484375,2.6775896549224854,-0.001875616842880845,11.481502532958984,1.460988998413086,False,False,True
a41_2pct_high_only_0pf,2,high_only,0,3.68178046306,-2.5,0.0,11.97186279296875,7.99578857421875,6.165912552908909,3.97607421875,3.9848437309265137,-0.0027346506249159575,12.85744857788086,2.014937162399292,False,False,True
a41_2pct_high_only_1000pf,2,high_only,1000,3.68174980066,-2.5,0.0,11.971870928476989,8.693397521972656,7.268300722661544,3.2784734065043324,3.28729248046875,-0.0046751489862799644,9.94729995727539,-2.4520912170410156,False,False,True
a41_2pct_high_only_100pf,2,high_only,100,3.68177740337,-2.5,0.0,11.971863371768992,8.103614807128906,6.288520076756529,3.8682485646400853,3.8770251274108887,-0.00357412314042449,9.002147674560547,1.8892589807510376,False,False,True
a41_2pct_high_only_2000pf,2,high_only,2000,3.68171912601,-2.5,0.0,11.971881866455078,9.009628295898438,8.190574570594665,2.9622535705566406,2.9711086750030518,-0.004774303641170263,9.344783782958984,1.5896357297897339,False,False,True
a41_2pct_high_only_250pf,2,high_only,250,3.68177278836,-2.5,0.0,11.971866607666016,8.242294311523438,6.468058301480642,3.729572296142578,3.738352060317993,-0.0008045467548072338,9.730548858642578,-2.3524088859558105,False,False,True
a41_2pct_high_only_500pf,2,high_only,500,3.6817652480499996,-2.5,0.0,11.971866607666016,8.42812728881836,6.748833565334317,3.5437393188476562,3.5525355339050293,-0.003350207582116127,13.182422637939453,1.3226310014724731,False,False,True
a41_2pct_high_only_50pf,2,high_only,50,3.68177896653,-2.5,0.0,11.971864619611486,8.0513916015625,6.228058445615013,3.9204730180489857,3.9292445182800293,-0.002561894478276372,10.800773620605469,2.617375135421753,False,False,True
a41_2pct_symmetric_0pf,2,symmetric,0,3.68178046306,-2.5,0.0,11.97186279296875,7.99578857421875,6.165912552908909,3.97607421875,3.9848437309265137,-0.0027346506249159575,12.85744857788086,2.014937162399292,False,False,True
a41_2pct_symmetric_1000pf,2,symmetric,1000,3.68171923278,-2.5,0.0,11.971881005592511,9.009464263916016,8.191258710575834,2.9624167416764955,2.9712166786193848,-0.004250187426805496,9.34426498413086,1.5888948440551758,False,False,True
a41_2pct_symmetric_100pf,2,symmetric,100,3.6817744277699997,-2.5,0.0,11.971866607666016,8.198646545410156,6.409371850837176,3.7732200622558594,3.7819905281066895,-0.001290421700105071,8.559860229492188,-1.2564882040023804,False,False,True
a41_2pct_symmetric_2000pf,2,symmetric,2000,3.68165795685,-2.5,0.0,11.97189712524414,9.319507598876953,9.757350829006578,2.6523895263671875,2.661212921142578,-0.0019960140343755484,11.771453857421875,2.72906756401062,False,False,True
a41_2pct_symmetric_250pf,2,symmetric,250,3.6817652243900003,-2.5,0.0,11.971866607666016,8.428054809570312,6.748646757676568,3.543811798095703,3.5525920391082764,-0.003847422543913126,13.182323455810547,1.3229470252990723,False,False,True
a41_2pct_symmetric_500pf,2,symmetric,500,3.68174980525,-2.5,0.0,11.97187255988599,8.693267822265625,7.269420779114518,3.2786047376203644,3.2873902320861816,-0.003232315881177783,9.947696685791016,-2.4524919986724854,False,False,True
a41_2pct_symmetric_50pf,2,symmetric,50,3.68177747251,-2.5,0.0,11.971863406766218,8.103607177734375,6.2892062924648,3.868256229031843,3.8770272731781006,-0.00223819212988019,9.002113342285156,1.8892333507537842,False,False,True
