case,negative_fraction_pct,source_region,negative_target_a,release_time_ns,release_current_a,minimum_vds_high_after_release_v,time_of_minimum_vds_ns,natural_zvs_after_release,zvs_time_ns,commutation_duration_ns,current_at_zvs_a,high_side_admitted,current_at_minimum_vds_a
a42_01pct_zero_snubber,1.0,P24_EXPLICIT,1.25,1.8363432613700001,-1.25,9.256580352783203,4.679912756273571,False,,,,False,-0.0027009083423763514
a42_02pct_zero_snubber,2.0,P24_EXPLICIT,2.5,3.68178046306,-2.5,7.99578857421875,6.165912552908909,False,,,,False,-0.0027346506249159575
a42_03pct_zero_snubber,3.0,DIAGNOSTIC_BRIDGE,3.75,5.53538325974,-3.75,6.643653869628906,7.877526094416799,False,,,,False,-0.0046307784505188465
a42_04pct_zero_snubber,4.0,DIAGNOSTIC_BRIDGE,5.0,7.39722398263,-5.0,5.264636993408203,9.666129604160693,False,,,,False,-0.0032734351698309183
a42_05pct_zero_snubber,5.0,P25_SUPPLEMENT,6.25,9.26737629299,-6.25,3.874401092529297,11.491283894200519,False,,,,False,-0.0031188635621219873
a42_06pct_zero_snubber,6.0,P25_SUPPLEMENT,7.5,11.1459145922,-7.5,2.477996826171875,13.339672570196926,False,,,,False,-0.005529198329895735
a42_07pct_zero_snubber,7.0,P25_SUPPLEMENT,8.75,13.0329145765,-8.75,1.0787887573242188,15.205102298308393,False,,,,False,-0.003840991761535406
a42_08pct_zero_snubber,8.0,P25_SUPPLEMENT,10.0,14.9284524196,-10.0,-0.0150909423828125,16.80206437402665,True,16.7731916991,1.8447392795000017,-2.3799440066,True,-2.163538694381714
a42_09pct_zero_snubber,9.0,P25_SUPPLEMENT,11.25,16.832607143300002,-11.25,-0.03778839111328125,18.326306358061217,True,18.2902673819,1.4576602385999993,-5.67438359957,True,-5.403794765472412
a42_10pct_zero_snubber,10.0,P25_SUPPLEMENT,12.5,18.7454553203,-12.5,-0.052982330322265625,20.034416385924903,True,19.9952173955,1.2497620752,-7.86473105229,True,-7.570066452026367
