case,negative_fraction_pct,source_region,negative_target_a,release_time_ns,release_current_a,minimum_vds_high_after_release_v,time_of_minimum_vds_ns,natural_zvs_after_release,zvs_time_ns,commutation_duration_ns,current_at_zvs_a,high_side_admitted,current_at_minimum_vds_a
a42_refine_700bp_zero_snubber,7.0,P25_SUPPLEMENT,8.75,13.0329145765,-8.75,1.0787887573242188,15.205102298308393,False,,,,False,-0.003840991761535406
a42_refine_710bp_zero_snubber,7.1,P25_SUPPLEMENT,8.875,13.2220830194,-8.875,0.9388847351074219,15.392092863299107,False,,,,False,-0.004738885443657637
a42_refine_720bp_zero_snubber,7.2,P25_SUPPLEMENT,9.0,13.4113369934,-9.0,0.7984771728515625,15.580387422342428,False,,,,False,-0.002014926867559552
a42_refine_730bp_zero_snubber,7.3,P25_SUPPLEMENT,9.125,13.6006760469,-9.125,0.6584205627441406,15.76732718802634,False,,,,False,-0.006237481255084276
a42_refine_740bp_zero_snubber,7.4,P25_SUPPLEMENT,9.25,13.7901011733,-9.25,0.5182533264160156,15.95499483193594,False,,,,False,-0.007211474701762199
a42_refine_750bp_zero_snubber,7.5,P25_SUPPLEMENT,9.375,13.9796120437,-9.375,0.37841033935546875,16.142838599429012,False,,,,False,-0.004549697507172823
a42_refine_760bp_zero_snubber,7.6,P25_SUPPLEMENT,9.5,14.1692076506,-9.5,0.23806381225585938,16.330874062228865,False,,,,False,-0.006149361841380596
a42_refine_770bp_zero_snubber,7.7,P25_SUPPLEMENT,9.625,14.3588901004,-9.625,0.09805679321289062,16.519275472266127,False,,,,False,-0.002455078298225999
a42_refine_780bp_zero_snubber,7.8,P25_SUPPLEMENT,9.75,14.548658579000001,-9.75,-0.0048370361328125,16.615232032261133,True,16.594020944,2.0453623650000003,-0.855622394383,True,-0.696763277053833
a42_refine_790bp_zero_snubber,7.9,P25_SUPPLEMENT,9.875,14.738512564499999,-9.875,-0.0110321044921875,16.687517820137913,True,16.6606234586,1.9221108941000016,-1.78295475776,True,-1.581438422203064
a42_refine_800bp_zero_snubber,8.0,P25_SUPPLEMENT,10.0,14.9284524196,-10.0,-0.0150909423828125,16.80206437402665,True,16.7731916991,1.8447392795000017,-2.3799440066,True,-2.163538694381714
a42_fine_770bp_zero_snubber,7.7,P25_SUPPLEMENT,9.625,14.3588901004,-9.625,0.09805679321289062,16.519275472266127,False,,,,False,-0.002455078298225999
a42_fine_771bp_zero_snubber,7.71,P25_SUPPLEMENT,9.6375,14.3778625714,-9.6375,0.08406829833984375,16.53738936463648,False,,,,False,-0.007432247046381235
a42_fine_772bp_zero_snubber,7.72,P25_SUPPLEMENT,9.65,14.3968368489,-9.65,0.07003021240234375,16.55673702630578,False,,,,False,-0.0037082601338624954
a42_fine_773bp_zero_snubber,7.73,P25_SUPPLEMENT,9.662500000000001,14.4158118037,-9.6625,0.055927276611328125,16.575990876851147,False,,,,False,-0.0013113871682435274
a42_fine_774bp_zero_snubber,7.74,P25_SUPPLEMENT,9.675,14.4347869576,-9.675,0.041950225830078125,16.594536617492558,False,,,,False,-0.002978868316859007
a42_fine_775bp_zero_snubber,7.75,P25_SUPPLEMENT,9.6875,14.4537640591,-9.6875,0.027912139892578125,16.613747989706827,False,,,,False,-0.00026148316101171076
a42_fine_776bp_zero_snubber,7.76,P25_SUPPLEMENT,9.7,14.4727409794,-9.7,0.01392364501953125,16.632130990658833,False,,,,False,-0.003270587185397744
a42_fine_777bp_zero_snubber,7.77,P25_SUPPLEMENT,9.712499999999999,14.4917193489,-9.7125,-4.9591064453125e-05,16.650212534998,True,16.646859386099997,2.1551400372,-0.033651843667,True,-0.00854727067053318
a42_fine_778bp_zero_snubber,7.78,P25_SUPPLEMENT,9.725,14.5106973562,-9.725,-0.002544403076171875,16.621371236536163,True,16.6040571176,2.0933597613999986,-0.497981889206,True,-0.3683304190635681
a42_fine_779bp_zero_snubber,7.79,P25_SUPPLEMENT,9.7375,14.5296779707,-9.7375,-0.003826141357421875,16.61562147389781,True,16.595937378699997,2.066259407999998,-0.699736232999,True,-0.5523242950439453
a42_fine_780bp_zero_snubber,7.8,P25_SUPPLEMENT,9.75,14.548658579000001,-9.75,-0.0048370361328125,16.615232032261133,True,16.594020944,2.0453623650000003,-0.855622394383,True,-0.696763277053833
