case,negative_fraction_pct,source_region,negative_target_a,release_time_ns,release_current_a,minimum_vds_high_after_release_v,time_of_minimum_vds_ns,natural_zvs_after_release,zvs_time_ns,commutation_duration_ns,current_at_zvs_a,high_side_admitted,current_at_minimum_vds_a
a45_01pct_epc2067,1.0,P24_EXPLICIT,1.25,1.83621828549,-1.25,9.86776351928711,11.722056478947213,False,,,,False,-0.006599632557481527
a45_02pct_epc2067,2.0,P24_EXPLICIT,2.5,3.6815300095100003,-2.5,9.577285766601562,12.377570260468854,False,,,,False,-0.003388718469068408
a45_03pct_epc2067,3.0,DIAGNOSTIC_BRIDGE,3.75,5.53500637007,-3.75,9.193798065185547,13.493935111595036,False,,,,False,-0.005415448918938637
a45_04pct_epc2067,4.0,DIAGNOSTIC_BRIDGE,5.0,7.39672037298,-5.0,8.765068054199219,14.894302301243776,False,,,,False,-0.0020047412253916264
a45_05pct_epc2067,5.0,P25_SUPPLEMENT,6.25,9.266745465029999,-6.25,8.312740325927734,16.4527083980352,False,,,,False,-0.004687249194830656
a45_06pct_epc2067,6.0,P25_SUPPLEMENT,7.5,11.145155791799999,-7.5,7.847187042236328,18.112318895711176,False,,,,False,-0.003567703766748309
a45_07pct_epc2067,7.0,P25_SUPPLEMENT,8.75,13.0320274841,-8.75,7.373359680175781,19.834765823263638,False,,,,False,-0.009607556276023388
a45_08pct_epc2067,8.0,P25_SUPPLEMENT,10.0,14.927437025000001,-10.0,6.8941650390625,21.604879417696342,False,,,,False,-0.013865316286683083
a45_09pct_epc2067,9.0,P25_SUPPLEMENT,11.25,16.831461622699997,-11.25,6.411376953125,23.412398963138106,False,,,,False,-0.009952852502465248
a45_10pct_epc2067,10.0,P25_SUPPLEMENT,12.5,18.7441802283,-12.5,5.9259185791015625,25.247941936625903,False,,,,False,-0.0038573527708649635
