case,negative_fraction_pct,source_region,negative_target_a,release_time_ns,release_current_a,minimum_vds_high_after_release_v,time_of_minimum_vds_ns,natural_zvs_after_release,zvs_time_ns,commutation_duration_ns,current_at_zvs_a,high_side_admitted,current_at_minimum_vds_a
a45_refine_2200bp_epc2067,22.0,P25_SUPPLEMENT,27.5,42.405111378,-27.5,0.0246429443359375,48.51142629586356,False,,,,False,-0.004252796992659569
a45_refine_2210bp_epc2067,22.1,P25_SUPPLEMENT,27.625,42.608009471,-27.625,-0.007640838623046875,48.565673651400196,True,48.4655134264,5.857503955399996,-1.857625103,True,-1.1073673963546753
a45_refine_2220bp_epc2067,22.2,P25_SUPPLEMENT,27.75,42.811006559499994,-27.75,-0.0156097412109375,48.61643516662225,True,48.4866834931,5.6756769336000055,-3.2195901076,True,-2.24714994430542
a45_refine_2230bp_epc2067,22.3,P25_SUPPLEMENT,27.875,43.014100961299995,-27.875,-0.02142333984375,48.70971566780866,True,48.5648001957,5.550699234400004,-4.16067823048,True,-3.0741536617279053
a45_refine_2240bp_epc2067,22.4,P25_SUPPLEMENT,28.0,43.217296544,-28.0,-0.02626800537109375,48.820445394189704,True,48.6666413114,5.4493447674,-4.92792054881,True,-3.7743680477142334
a45_refine_2250bp_epc2067,22.5,P25_SUPPLEMENT,28.125,43.420587304899996,-28.125,-0.0305328369140625,48.94402899743396,True,48.7826353192,5.362048014300002,-5.59400798097,True,-4.3831706047058105
a45_refine_2260bp_epc2067,22.6,P25_SUPPLEMENT,28.25,43.6239793856,-28.25,-0.034397125244140625,49.07656345054946,True,48.9084106039,5.284431218300003,-6.19198916175,True,-4.930095672607422
a45_refine_2270bp_epc2067,22.7,P25_SUPPLEMENT,28.375,43.8274688072,-28.375,-0.037952423095703125,49.21559154798897,True,49.041088739399996,5.213619932199997,-6.73828390523,True,-5.428401470184326
a45_refine_2280bp_epc2067,22.8,P25_SUPPLEMENT,28.5,44.0310572195,-28.5,-0.0412750244140625,49.3576146885459,True,49.1796025581,5.1485453386000035,-7.24646385043,True,-5.909930229187012
a45_refine_2290bp_epc2067,22.9,P25_SUPPLEMENT,28.625,44.2347459811,-28.625,-0.044406890869140625,49.50446904828697,True,49.3227233366,5.0879773555000005,-7.72342902367,True,-6.358560562133789
a45_refine_2300bp_epc2067,23.0,P25_SUPPLEMENT,28.75,44.4385312587,-28.75,-0.047374725341796875,49.65407498037276,True,49.4694340829,5.030902824199998,-8.17385955479,True,-6.786960124969482
a45_fine_2200bp_epc2067,22.0,P25_SUPPLEMENT,27.5,42.405111378,-27.5,0.0246429443359375,48.51142629586356,False,,,,False,-0.004252796992659569
a45_fine_2201bp_epc2067,22.01,P25_SUPPLEMENT,27.512500000000003,42.4253956373,-27.5125,0.019741058349609375,48.53023880074183,False,,,,False,-0.012931990437209606
a45_fine_2202bp_epc2067,22.02,P25_SUPPLEMENT,27.525,42.4456828406,-27.525,0.0147552490234375,48.55007473675297,False,,,,False,-0.016519054770469666
a45_fine_2203bp_epc2067,22.03,P25_SUPPLEMENT,27.5375,42.4659696418,-27.5375,0.009792327880859375,48.56977786323288,False,,,,False,-0.020407866686582565
a45_fine_2204bp_epc2067,22.04,P25_SUPPLEMENT,27.549999999999997,42.4862588317,-27.55,0.00484466552734375,48.590191454965634,False,,,,False,-0.018513213843107224
a45_fine_2205bp_epc2067,22.05,P25_SUPPLEMENT,27.5625,42.5065492638,-27.5625,-0.00011444091796875,48.608731030065115,True,48.594722305699996,6.0881730419,-0.136473335326,True,-0.03159158676862717
a45_fine_2206bp_epc2067,22.06,P25_SUPPLEMENT,27.575,42.5268373811,-27.575,-0.00243377685546875,48.584371298303424,True,48.521397113199995,5.994559732099996,-0.833852807681,True,-0.36230212450027466
a45_fine_2207bp_epc2067,22.07,P25_SUPPLEMENT,27.5875,42.5471296574,-27.5875,-0.00405120849609375,48.573782078989524,True,48.4957610286,5.9486313712,-1.17765116692,True,-0.5933677554130554
a45_fine_2208bp_epc2067,22.08,P25_SUPPLEMENT,27.599999999999998,42.5674226698,-27.6,-0.005397796630859375,48.56854395744941,True,48.480792276699994,5.913369606899996,-1.44172067869,True,-0.7845079302787781
a45_fine_2209bp_epc2067,22.09,P25_SUPPLEMENT,27.6125,42.5877156218,-27.6125,-0.006587982177734375,48.5663702799349,True,48.471315370300005,5.883599748500003,-1.66525016142,True,-0.9532836675643921
a45_fine_2210bp_epc2067,22.1,P25_SUPPLEMENT,27.625,42.608009471,-27.625,-0.007640838623046875,48.565673651400196,True,48.4655134264,5.857503955399996,-1.857625103,True,-1.1073673963546753
