case,negative_fraction_pct,source_region,negative_target_a,release_time_ns,release_current_a,minimum_vds_high_after_release_v,time_of_minimum_vds_ns,natural_zvs_after_release,zvs_time_ns,commutation_duration_ns,current_at_zvs_a,high_side_admitted,current_at_minimum_vds_a
a45_wide_15pct_epc2067,15.0,P25_SUPPLEMENT,18.75,28.441014540100003,-18.75,3.477466583251953,34.700586467888755,False,,,,False,-0.01743457280099392
a45_wide_20pct_epc2067,20.0,P25_SUPPLEMENT,25.0,38.3676444301,-25.0,1.0126266479492188,44.507263036098195,False,,,,False,-0.006694169249385595
a45_wide_21pct_epc2067,21.0,P25_SUPPLEMENT,26.25,40.3815125643,-26.25,0.5187263488769531,46.50197707861306,False,,,,False,-0.018293606117367744
a45_wide_22pct_epc2067,22.0,P25_SUPPLEMENT,27.5,42.405111378,-27.5,0.0246429443359375,48.51142629586356,False,,,,False,-0.004252796992659569
a45_wide_23pct_epc2067,23.0,P25_SUPPLEMENT,28.75,44.4385312587,-28.75,-0.047374725341796875,49.65407498037276,True,49.4694340829,5.030902824199998,-8.17385955479,True,-6.786960124969482
a45_wide_24pct_epc2067,24.0,P25_SUPPLEMENT,30.0,46.481873087100006,-30.0,-0.07181167602539062,51.27565168575793,True,51.0665913421,4.584718254999997,-11.8391978955,True,-10.266104698181152
a45_wide_25pct_epc2067,25.0,P25_SUPPLEMENT,31.25,48.5352285559,-31.25,-0.09123611450195312,53.015963973659176,True,52.7950864157,4.2598578598,-14.7192023411,True,-13.054871559143066
a45_wide_30pct_epc2067,30.0,P25_SUPPLEMENT,37.5,58.9557552858,-37.5,-0.1642303466796875,62.48310866575655,True,62.227912048700006,3.272156762900005,-25.416473835,True,-23.483243942260742
a45_wide_35pct_epc2067,35.0,P25_SUPPLEMENT,43.75,69.64213157809999,-43.75,-0.22301864624023438,72.62055164704995,True,72.3465813862,2.7044498081000006,-33.9627491945,True,-31.87826156616211
a45_wide_40pct_epc2067,40.0,P25_SUPPLEMENT,50.0,80.6082793588,-50.0,-0.2764434814453125,83.21226005173746,True,82.9251772508,2.316897891999998,-41.7023197615,True,-39.5093994140625
