negative_target_a,minimum_vds_high_after_release_v,CH_pF,CL_pF,source,Ceff_pF
1.25,9.256580352783203,385.0,770.0,A42,256.6666666666667
2.5,7.99578857421875,385.0,770.0,A42,256.6666666666667
3.75,6.643653869628906,385.0,770.0,A42,256.6666666666667
5.0,5.264636993408203,385.0,770.0,A42,256.6666666666667
6.25,3.874401092529297,385.0,770.0,A42,256.6666666666667
7.5,2.477996826171875,385.0,770.0,A42,256.6666666666667
8.75,1.0787887573242188,385.0,770.0,A42,256.6666666666667
10.0,-0.0150909423828125,385.0,770.0,A42,256.6666666666667
11.25,-0.0377883911132812,385.0,770.0,A42,256.6666666666667
12.5,-0.0529823303222656,385.0,770.0,A42,256.6666666666667
8.75,1.0787887573242188,385.0,770.0,A42,256.6666666666667
8.875,0.938884735107422,385.0,770.0,A42,256.6666666666667
9.0,0.7984771728515625,385.0,770.0,A42,256.6666666666667
9.125,0.6584205627441406,385.0,770.0,A42,256.6666666666667
9.25,0.5182533264160156,385.0,770.0,A42,256.6666666666667
9.375,0.3784103393554687,385.0,770.0,A42,256.6666666666667
9.5,0.2380638122558593,385.0,770.0,A42,256.6666666666667
9.625,0.0980567932128906,385.0,770.0,A42,256.6666666666667
9.75,-0.0048370361328125,385.0,770.0,A42,256.6666666666667
9.875,-0.0110321044921875,385.0,770.0,A42,256.6666666666667
10.0,-0.0150909423828125,385.0,770.0,A42,256.6666666666667
9.625,0.0980567932128906,385.0,770.0,A42,256.6666666666667
9.6375,0.0840682983398437,385.0,770.0,A42,256.6666666666667
9.65,0.0700302124023437,385.0,770.0,A42,256.6666666666667
9.6625,0.0559272766113281,385.0,770.0,A42,256.6666666666667
9.675,0.0419502258300781,385.0,770.0,A42,256.6666666666667
9.6875,0.0279121398925781,385.0,770.0,A42,256.6666666666667
9.7,0.0139236450195312,385.0,770.0,A42,256.6666666666667
9.7125,-4.9591064453125e-05,385.0,770.0,A42,256.6666666666667
9.725,-0.0025444030761718,385.0,770.0,A42,256.6666666666667
9.7375,-0.0038261413574218,385.0,770.0,A42,256.6666666666667
9.75,-0.0048370361328125,385.0,770.0,A42,256.6666666666667
1.25,9.86776351928711,3720.0,5580.0,A45,2232.0
2.5,9.577285766601562,3720.0,5580.0,A45,2232.0
3.75,9.193798065185549,3720.0,5580.0,A45,2232.0
5.0,8.765068054199219,3720.0,5580.0,A45,2232.0
6.25,8.312740325927734,3720.0,5580.0,A45,2232.0
7.5,7.847187042236328,3720.0,5580.0,A45,2232.0
8.75,7.373359680175781,3720.0,5580.0,A45,2232.0
