case,negative_fraction_pct,source_region,negative_target_a,release_time_ns,release_current_a,minimum_vds_high_after_release_v,time_of_minimum_vds_ns,natural_zvs_after_release,zvs_time_ns,commutation_duration_ns,current_at_zvs_a,high_side_admitted,current_at_minimum_vds_a
a47_01pct_nonlinear,1.0,P24_EXPLICIT,1.25,1.8536129209899999,-1.25,9.501869201660156,5.697012056562913,False,,,,False,-0.002956696320325136
a47_02pct_nonlinear,2.0,P24_EXPLICIT,2.5,3.69903888145,-2.5,8.572994232177734,7.023733933234825,False,,,,False,-0.003906778059899807
a47_03pct_nonlinear,3.0,DIAGNOSTIC_BRIDGE,3.75,5.55263036117,-3.75,7.538463592529297,8.65541707742043,False,,,,False,-0.004140613134950399
a47_04pct_nonlinear,4.0,DIAGNOSTIC_BRIDGE,5.0,7.4145554167,-5.0,6.463050842285156,10.397498241046856,False,,,,False,-0.0042969356290996075
a47_05pct_nonlinear,5.0,P25_SUPPLEMENT,6.25,9.284600355,-6.25,5.363517761230469,12.190598531208384,False,,,,False,-0.004339261911809444
a47_06pct_nonlinear,6.0,P25_SUPPLEMENT,7.5,11.1631272656,-7.5,4.2431640625,14.014714094977116,False,,,,False,-0.006613000296056271
a47_07pct_nonlinear,7.0,P25_SUPPLEMENT,8.75,13.0502120606,-8.75,3.1033401489257812,15.860998268919221,False,,,,False,-0.002420571865513921
a47_08pct_nonlinear,8.0,P25_SUPPLEMENT,10.0,14.9457392084,-10.0,1.9428062438964844,17.721998278219363,False,,,,False,-0.005746209062635899
a47_09pct_nonlinear,9.0,P25_SUPPLEMENT,11.25,16.8497862089,-11.25,0.7595863342285156,19.596244779023664,False,,,,False,-0.0086906673386693
a47_10pct_nonlinear,10.0,P25_SUPPLEMENT,12.5,18.762622099799998,-12.5,-0.0212860107421875,21.088910929109424,True,21.0469620895,2.2843399897000016,-3.36486698894,True,-3.050319194793701
