Vds_V,Coss_pF
0.116686,660.1004
0.233372,655.1786
0.350058,655.1786
0.466744,655.1786
0.583431,655.1786
0.700117,655.1786
0.816803,655.1786
0.933489,650.2935
1.050175,650.2935
1.166861,643.0341
1.283547,643.0341
1.400233,643.0341
1.516919,643.0341
1.633606,643.0341
1.750292,643.0341
1.866978,635.8558
1.983664,635.8558
2.100350,635.8558
2.217036,635.8558
2.333722,635.8558
2.450408,635.8558
2.567095,635.8558
2.683781,635.8558
2.800467,635.8558
2.917153,635.8558
3.033839,631.1148
3.150525,631.1148
3.267211,631.1148
3.383897,631.1148
3.500583,631.1148
3.617270,631.1148
3.733956,626.4091
3.850642,626.4091
3.967328,626.4091
4.084014,626.4091
4.200700,626.4091
4.317386,626.4091
4.434072,626.4091
4.550758,626.4091
4.667445,619.4164
4.784131,619.4164
4.900817,619.4164
5.017503,619.4164
5.134189,619.4164
5.250875,619.4164
5.367561,619.4164
5.484247,619.4164
5.600933,619.4164
5.717620,619.4164
5.834306,619.4164
5.950992,619.4164
6.067678,619.4164
6.184364,614.7979
6.301050,614.7979
6.417736,614.7979
6.534422,614.7979
6.651109,614.7979
6.767795,614.7979
6.884481,610.2139
7.001167,610.2139
7.117853,603.4020
7.234539,603.4020
7.351225,603.4020
7.467911,603.4020
7.584597,603.4020
7.701284,603.4020
7.817970,603.4020
7.934656,603.4020
8.051342,603.4020
8.168028,603.4020
8.284714,603.4020
8.401400,603.4020
8.518086,603.4020
8.634772,603.4020
8.751459,603.4020
8.868145,603.4020
8.984831,603.4020
9.101517,603.4020
9.218203,603.4020
9.334889,598.9029
9.451575,598.9029
9.568261,598.9029
9.684947,598.9029
9.801634,598.9029
9.918320,598.9029
10.035006,598.9029
10.151692,598.9029
10.268378,592.2172
10.385064,592.2172
10.501750,592.2172
10.618436,592.2172
10.735123,592.2172
10.851809,585.6062
10.968495,585.6062
11.085181,585.6062
11.201867,581.2398
11.318553,581.2398
11.435239,581.2398
11.551925,574.7513
11.668611,574.7513
11.785298,551.5736
11.901984,551.5736
12.018670,551.5736
12.135356,547.4610
12.252042,547.4610
12.368728,547.4610
12.485414,535.3063
12.602100,535.3063
12.718786,531.3150
12.835473,531.3150
12.952159,531.3150
13.068845,521.4665
13.185531,521.4665
13.302217,521.4665
13.418903,511.8006
13.535589,511.8006
13.652275,511.8006
13.768961,511.8006
13.885648,511.8006
14.002334,504.1970
14.119020,504.1970
14.235706,504.1970
14.352392,498.5685
14.469078,498.5685
14.585764,482.0572
14.702450,482.0572
14.819137,482.0572
14.935823,467.8402
15.052509,467.8402
15.169195,467.8402
15.285881,459.1682
15.402567,459.1682
15.519253,439.0057
15.635939,439.0057
15.752625,439.0057
15.869312,424.4671
15.985998,424.4671
16.102684,424.4671
16.219370,404.3126
16.336056,404.3126
16.452742,390.9228
16.569428,390.9228
16.686114,390.9228
