case,negative_fraction_pct,source_region,negative_target_a,release_time_ns,release_current_a,minimum_vds_high_after_release_v,time_of_minimum_vds_ns,natural_zvs_after_release,zvs_time_ns,commutation_duration_ns,current_at_zvs_a,high_side_admitted,current_at_minimum_vds_a
a47_refine_0900bp_nonlinear,9.0,P25_SUPPLEMENT,11.25,16.8497862089,-11.25,0.7595863342285156,19.596244779023664,False,,,,False,-0.0086906673386693
a47_refine_0910bp_nonlinear,9.1,P25_SUPPLEMENT,11.375,17.040677216,-11.375,0.6396102905273438,19.78550588547097,False,,,,False,-0.003919464536011219
a47_refine_0920bp_nonlinear,9.2,P25_SUPPLEMENT,11.5,17.2316547137,-11.5,0.5196685791015625,19.974061799500316,False,,,,False,-0.0015679958742111921
a47_refine_0930bp_nonlinear,9.3,P25_SUPPLEMENT,11.625,17.4227199257,-11.625,0.39954376220703125,20.1614867251186,False,,,,False,-0.0072143711149692535
a47_refine_0940bp_nonlinear,9.4,P25_SUPPLEMENT,11.75,17.613872406800002,-11.75,0.278839111328125,20.350830703973184,False,,,,False,-0.003279544413089752
a47_refine_0950bp_nonlinear,9.5,P25_SUPPLEMENT,11.875,17.8052083637,-11.875,0.15805816650390625,20.53949829210152,False,,,,False,-0.0035223362501710653
a47_refine_0960bp_nonlinear,9.6,P25_SUPPLEMENT,12.0,17.9964387722,-12.0,0.03691864013671875,20.727744186532398,False,,,,False,-0.007209679577499628
a47_refine_0970bp_nonlinear,9.7,P25_SUPPLEMENT,12.125,18.1878545265,-12.125,-0.008365631103515625,20.757682835782003,True,20.7248299042,2.5369753776999984,-1.44733469383,True,-1.2012258768081665
a47_refine_0980bp_nonlinear,9.8,P25_SUPPLEMENT,12.25,18.3793563224,-12.25,-0.01384735107421875,20.844943013209566,True,20.807283723999998,2.4279274015999994,-2.26842456659,True,-1.9861968755722046
a47_refine_0990bp_nonlinear,9.9,P25_SUPPLEMENT,12.375,18.5709452338,-12.375,-0.017894744873046875,20.960782286976006,True,20.9198742327,2.348928998899999,-2.86623378892,True,-2.559565544128418
a47_refine_1000bp_nonlinear,10.0,P25_SUPPLEMENT,12.5,18.762622099799998,-12.5,-0.0212860107421875,21.088910929109424,True,21.0469620895,2.2843399897000016,-3.36486698894,True,-3.050319194793701
a47_fine_0960bp_nonlinear,9.6,P25_SUPPLEMENT,12.0,17.9964387722,-12.0,0.03691864013671875,20.727744186532398,False,,,,False,-0.007209679577499628
a47_fine_0961bp_nonlinear,9.61,P25_SUPPLEMENT,12.0125,18.0155764915,-12.0125,0.02487945556640625,20.74690544792382,False,,,,False,-0.0041058906354010105
a47_fine_0962bp_nonlinear,9.62,P25_SUPPLEMENT,12.024999999999999,18.0347156285,-12.025,0.01277923583984375,20.76549020873607,False,,,,False,-0.006041302811354399
a47_fine_0963bp_nonlinear,9.63,P25_SUPPLEMENT,12.037500000000001,18.0538542917,-12.0375,0.000713348388671875,20.78438061528,False,,,,False,-0.005233060102909803
a47_fine_0964bp_nonlinear,9.64,P25_SUPPLEMENT,12.05,18.0729945249,-12.05,-0.00251007080078125,20.75507743166074,True,20.7329419978,2.659947472899998,-0.531058224236,True,-0.36530640721321106
a47_fine_0965bp_nonlinear,9.65,P25_SUPPLEMENT,12.0625,18.092135649400003,-12.0625,-0.003963470458984375,20.746496620313454,True,20.7207000571,2.6285644076999994,-0.767304294422,True,-0.5741178393363953
a47_fine_0966bp_nonlinear,9.66,P25_SUPPLEMENT,12.075,18.1112777547,-12.075,-0.005077362060546875,20.74457131840062,True,20.7161782337,2.604900478999997,-0.942451111368,True,-0.7298024892807007
a47_fine_0967bp_nonlinear,9.67,P25_SUPPLEMENT,12.0875,18.130420168700002,-12.0875,-0.0060272216796875,20.745003483079962,True,20.715379360500002,2.5849591917999994,-1.09018278399,True,-0.8682994246482849
a47_fine_0968bp_nonlinear,9.68,P25_SUPPLEMENT,12.1,18.1495641468,-12.1,-0.006885528564453125,20.74799142572846,True,20.7169924949,2.5674283481000018,-1.22209840952,True,-0.9899033308029175
a47_fine_0969bp_nonlinear,9.69,P25_SUPPLEMENT,12.112499999999999,18.1687082605,-12.1125,-0.00765228271484375,20.751858704381352,True,20.7202710888,2.5515628282999976,-1.3393098026,True,-1.1026924848556519
a47_fine_0970bp_nonlinear,9.7,P25_SUPPLEMENT,12.125,18.1878545265,-12.125,-0.008365631103515625,20.757682835782003,True,20.7248299042,2.5369753776999984,-1.44733469383,True,-1.2012258768081665
