case,tag,row,negative_fraction_pct,source_region,t_dead_ns_requested,t_dead_ns_reported,release_time_ns,release_current_a,natural_zvs_occurs_in_window,natural_zvs_time_ns,commutation_duration_ns,forced_on_time_ns,forced_on_before_natural_zvs,vds_at_forced_on_v,il1_at_forced_on_a,vds_hs_min_v,negative_target_a
a48_coarse_01pct_tdead_0p5ns,coarse,01pct,1.0,P24_EXPLICIT,0.5,0.5,1.83634329425,-1.25,True,2.39606907883,0.55972578458,2.3375390060999996,True,11.3754957481,-1.49037587643,-0.000934600830078,1.25
a48_coarse_01pct_tdead_10ns,coarse,01pct,1.0,P24_EXPLICIT,10.0,10.0,1.83634329425,-1.25,True,11.8986308954,10.0622876012,11.8375390061,True,9.76475806752,-1.07955785678,-0.000556945800781,1.25
a48_coarse_01pct_tdead_15ns,coarse,01pct,1.0,P24_EXPLICIT,15.0,15.0,1.83634329425,-1.25,False,,,16.837539006100002,True,12.6919863122,0.130115053396,0.0,1.25
a48_coarse_01pct_tdead_1ns,coarse,01pct,1.0,P24_EXPLICIT,1.0,1.0,1.83634329425,-1.25,True,2.89542323858,1.0590799443299999,2.8375390061,True,10.7173522617,-1.51264321804,-0.000957489013672,1.25
a48_coarse_01pct_tdead_20ns,coarse,01pct,1.0,P24_EXPLICIT,20.0,20.0,1.83634329425,-1.25,False,,,21.8375390061,True,9.5787536863,0.87763652373,0.0,1.25
a48_coarse_01pct_tdead_2ns,coarse,01pct,1.0,P24_EXPLICIT,2.0,2.0,1.83634329425,-1.25,True,3.9006525234500002,2.0643092292,3.8375390061,True,9.60711751614,-0.924698633806,-0.000408172607422,1.25
a48_coarse_01pct_tdead_3ns,coarse,01pct,1.0,P24_EXPLICIT,3.0,3.0,1.83634329425,-1.25,False,,,4.8375390061,True,9.26895341816,0.18228336118,0.0,1.25
a48_coarse_01pct_tdead_5ns,coarse,01pct,1.0,P24_EXPLICIT,5.0,5.0,1.83634329425,-1.25,False,,,6.837539006099999,True,11.1266909559,1.52329742908,0.0,1.25
a48_coarse_01pct_tdead_7ns,coarse,01pct,1.0,P24_EXPLICIT,7.0,7.0,1.83634329425,-1.25,False,,,8.8375390061,True,12.7001732417,-0.0781053579043,0.0,1.25
a48_coarse_02pct_tdead_0p5ns,coarse,02pct,2.0,P24_EXPLICIT,0.5,0.5,3.68178058991,-2.5,True,4.23546087207,0.5536802821560001,4.18302728735,True,10.8434801812,-2.64748944154,-0.00197982788086,2.5
a48_coarse_02pct_tdead_10ns,coarse,02pct,2.0,P24_EXPLICIT,10.0,10.0,3.68178058991,-2.5,True,13.7407026266,10.0589220366,13.6830272873,True,8.37998801634,-1.28705415992,-0.000751495361328,2.5
a48_coarse_02pct_tdead_15ns,coarse,02pct,2.0,P24_EXPLICIT,15.0,15.0,3.68178058991,-2.5,False,,,18.6830272873,True,13.9003036373,-0.501986241365,0.0,2.5
a48_coarse_02pct_tdead_1ns,coarse,02pct,2.0,P24_EXPLICIT,1.0,1.0,3.68178058991,-2.5,True,4.73547150272,1.05369091281,4.68302728735,True,9.7356000209,-2.40821484987,-0.00176620483398,2.5
a48_coarse_02pct_tdead_20ns,coarse,02pct,2.0,P24_EXPLICIT,20.0,20.0,3.68178058991,-2.5,False,,,23.6830272873,True,9.11393748619,2.04999005773,0.0,2.5
a48_coarse_02pct_tdead_2ns,coarse,02pct,2.0,P24_EXPLICIT,2.0,2.0,3.68178058991,-2.5,True,5.7442263253200005,2.0624457354100003,5.68302728735,True,8.19999984586,-0.96299613215,-0.000446319580078,2.5
a48_coarse_02pct_tdead_3ns,coarse,02pct,2.0,P24_EXPLICIT,3.0,3.0,3.68178058991,-2.5,False,,,6.683027287350001,True,8.22705440473,1.02226430252,0.0,2.5
a48_coarse_02pct_tdead_5ns,coarse,02pct,2.0,P24_EXPLICIT,5.0,5.0,3.68178058991,-2.5,False,,,8.683027287349999,True,12.0361938477,2.47513747215,0.0,2.5
a48_coarse_02pct_tdead_7ns,coarse,02pct,2.0,P24_EXPLICIT,7.0,7.0,3.68178058991,-2.5,True,10.7503863848,7.06860579491,10.683027287300002,True,13.8028667127,-0.852133032225,-0.000335693359375,2.5
a48_coarse_777bp_tdead_0p5ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,0.5,0.5,14.4917192089,-9.7125,True,15.031922146200001,0.5402029372639999,14.993037052999998,True,7.77447911043,-9.32389369305,-0.00788879394531,9.7125
a48_coarse_777bp_tdead_10ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,10.0,10.0,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,24.493037053000002,False,0.390190337767,-2.48423559177,-0.00196838378906,9.7125
a48_coarse_777bp_tdead_15ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,15.0,15.0,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,29.493037053,False,20.8719182008,-4.14905263708,-0.00332641601562,9.7125
a48_coarse_777bp_tdead_1ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,1.0,1.0,14.4917192089,-9.7125,True,15.5284385234,1.03671931445,15.493037053,True,4.0710497254,-7.57555439148,-0.00636672973633,9.7125
a48_coarse_777bp_tdead_20ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,20.0,20.0,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,34.493037053,False,6.43171665359,8.81415714342,-4.19616699219e-05,9.7125
a48_coarse_777bp_tdead_2ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.0,2.0,14.4917192089,-9.7125,True,16.5129303411,2.0212111322,16.493037053,True,0.0811300496455,-1.18396801898,-0.000873565673828,9.7125
a48_coarse_777bp_tdead_3ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,3.0,3.0,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,17.493037053000002,False,2.21572229525,5.86873772045,-4.19616699219e-05,9.7125
a48_coarse_777bp_tdead_5ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,5.0,5.0,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,19.493037053,False,17.2836581673,7.96698474884,-4.19616699219e-05,9.7125
a48_coarse_777bp_tdead_7ns,coarse,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,7.0,7.0,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,21.493037053000002,False,20.1623283828,-5.31807334998,-0.00436019897461,9.7125
