case,tag,row,negative_fraction_pct,source_region,t_dead_ns_requested,t_dead_ns_reported,release_time_ns,release_current_a,natural_zvs_occurs_in_window,natural_zvs_time_ns,commutation_duration_ns,forced_on_time_ns,forced_on_before_natural_zvs,vds_at_forced_on_v,il1_at_forced_on_a,vds_hs_min_v,negative_target_a
a48_fine_777bp_tdead_2p12ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.12,2.12,14.4917192089,-9.7125,True,16.6236813061,2.13196209719,16.613037053,True,0.00459289550781,-0.288368128529,-0.000160217285156,9.7125
a48_fine_777bp_tdead_2p14ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.14,2.14,14.4917192089,-9.7125,True,16.639144796500002,2.14742558763,16.633037053,True,0.000896453857422,-0.138663385846,-6.48498535156e-05,9.7125
a48_fine_777bp_tdead_2p15ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.15,2.15,14.4917192089,-9.7125,True,16.6433571095,2.15163790055,16.643037053,True,1.90734863281e-05,-0.0637971992738,-3.81469726562e-05,9.7125
a48_fine_777bp_tdead_2p16ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.16,2.16,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.653037053,False,3.81469726562e-06,0.011071315292,-4.19616699219e-05,9.7125
a48_fine_777bp_tdead_2p17ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.17,2.17,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.663037053,False,0.000423431396484,0.085938281702,-4.19616699219e-05,9.7125
a48_fine_777bp_tdead_2p18ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.18,2.18,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.673037053,False,0.00149154663086,0.160799733415,-4.19616699219e-05,9.7125
a48_fine_777bp_tdead_2p1ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.1,2.1,14.4917192089,-9.7125,True,16.606269309,2.11455010011,16.593037053,True,0.0108809949396,-0.438006528285,-0.000270843505859,9.7125
a48_fine_777bp_tdead_2p22ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.22,2.22,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.713037053,False,0.0122413635254,0.460102023669,-4.19616699219e-05,9.7125
a48_fine_777bp_tdead_2p24ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.24,2.24,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.733037053,False,0.0215034484863,0.609605195533,-4.19616699219e-05,9.7125
a48_fine_777bp_tdead_2p2ns,fine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.2,2.2,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.693037053,False,0.00556945800781,0.310488413461,-4.19616699219e-05,9.7125
