case,tag,row,negative_fraction_pct,source_region,t_dead_ns_requested,t_dead_ns_reported,release_time_ns,release_current_a,natural_zvs_occurs_in_window,natural_zvs_time_ns,commutation_duration_ns,forced_on_time_ns,forced_on_before_natural_zvs,vds_at_forced_on_v,il1_at_forced_on_a,vds_hs_min_v,negative_target_a
a48_refine_777bp_tdead_2ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.0,2.0,14.4917192089,-9.7125,True,16.5129303411,2.0212111322,16.493037053,True,0.0811300496455,-1.18396801898,-0.000873565673828,9.7125
a48_refine_777bp_tdead_2p1ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.1,2.1,14.4917192089,-9.7125,True,16.606269309,2.11455010011,16.593037053,True,0.0108809949396,-0.438006528285,-0.000270843505859,9.7125
a48_refine_777bp_tdead_2p2ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.2,2.2,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.693037053,False,0.00556945800781,0.310488413461,-4.19616699219e-05,9.7125
a48_refine_777bp_tdead_2p3ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.3,2.3,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.793037053,False,0.0648040771484,1.05709947183,-4.19616699219e-05,9.7125
a48_refine_777bp_tdead_2p4ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.4,2.4,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.893037053,False,0.188437706671,1.79742943921,-4.19616699219e-05,9.7125
a48_refine_777bp_tdead_2p5ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.5,2.5,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,16.993037053000002,False,0.375735935296,2.52711050768,-4.19616699219e-05,9.7125
a48_refine_777bp_tdead_2p6ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.6,2.6,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,17.093037053,False,0.625591379699,3.24183824478,-4.19616699219e-05,9.7125
a48_refine_777bp_tdead_2p7ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.7,2.7,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,17.193037052999998,False,0.93653390421,3.93739657363,-4.19616699219e-05,9.7125
a48_refine_777bp_tdead_2p8ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.8,2.8,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,17.293037053,False,1.30668917998,4.60968232842,-4.19616699219e-05,9.7125
a48_refine_777bp_tdead_2p9ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,2.9,2.9,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,17.393037053,False,1.73396215108,5.25473123213,-4.19616699219e-05,9.7125
a48_refine_777bp_tdead_3ns,refine,777bp,7.77,A42_NATURAL_ZVS_REFERENCE,3.0,3.0,14.4917192089,-9.7125,True,16.643355197600002,2.15163598864,17.493037053000002,False,2.21572229525,5.86873772045,-4.19616699219e-05,9.7125
