case,cdiv_uf,tramp_us,cfly_uf,vc1_final_v,vc2_final_v,vc3_final_v,ratio21,ratio31,ladder_err,iin_pk_a,id1_pk_a,id2_pk_a,id3_pk_a
e14_c300_t10_f0p6,300.0,10.0,0.6,36.1807212829,24.0803546906,12.0281496048,0.665557618441,0.332446374154,0.0107139481434,382.83102417,2.2757601738,1.51464962959,0.75656825304
e14_c10_t1_f3,10.0,1.0,3.0,29.2862873077,15.7013864517,6.82672739029,0.536134412899,0.233103203508,0.963373634551,330.838348389,129.93057251,69.6616821289,30.2881946564
e14_c10_t10_f3,10.0,10.0,3.0,27.5124607086,14.7502861023,6.4131731987,0.536131110136,0.233100676331,1.08673862616,33.0832939148,12.9920063019,6.96578741074,3.02870798111
e14_c10_t100_f3,10.0,100.0,3.0,27.242855072,14.6057271957,6.35031700134,0.536130561835,0.233100274716,1.10548897584,3.30779838562,1.29913532734,0.696495175362,0.302820086479
e14_c30_t1_f3,30.0,1.0,3.0,37.9193687439,23.3520946503,11.1200418472,0.615835532706,0.293254930543,0.153641700745,682.329528809,140.934768677,86.7926559448,41.3298225403
e14_c30_t10_f3,30.0,10.0,3.0,32.7936820984,20.1955223084,9.61691570282,0.615835765187,0.293255135973,0.446174648073,68.2375717163,14.093129158,8.67913818359,4.13294792175
e14_c30_t100_f3,30.0,100.0,3.0,32.3866615295,19.9448642731,9.49755382538,0.615835758647,0.293255104936,0.477871682909,6.82341718674,1.40933060646,0.867915272713,0.413292646408
e14_c100_t1_f3,100.0,1.0,3.0,41.0705528259,26.7144832611,13.1598453522,0.650453461738,0.320420458131,0.350605938169,1565.08740234,123.696174622,80.4589157104,39.6350326538
e14_c100_t10_f3,100.0,10.0,3.0,35.3236236572,22.9763717651,11.3184099197,0.650453418599,0.320420408437,0.118238581552,164.456863403,12.9988117218,8.45512580872,4.16508817673
e14_c100_t100_f3,100.0,100.0,3.0,34.8470001221,22.666349411,11.1656894684,0.650453391443,0.320420392839,0.157122426563,16.4455738068,1.2998714447,0.845505654812,0.416505217552
e14_c300_t1_f3,300.0,1.0,3.0,37.2535057068,24.6306190491,12.2540388107,0.66116244852,0.32893652767,0.0822652975718,2497.83032227,71.6049880981,47.3425331116,23.5534992218
e14_c300_t10_f3,300.0,10.0,3.0,35.8347816467,23.6926136017,11.7873697281,0.661162493893,0.328936557903,0.035116354625,391.801391602,11.231631279,7.42593288422,3.69449400902
e14_c300_t100_f3,300.0,100.0,3.0,35.6110572815,23.5446929932,11.7137775421,0.661162425116,0.328936528043,0.0536269611789,39.1801643372,1.12316215038,0.742592632771,0.369449079037
e14_c300_t10_f8p7,300.0,10.0,8.7,35.0459060669,22.8141708374,11.2440471649,0.650979626375,0.320837679113,0.138908227285,412.23348999,31.6245517731,20.5869407654,10.1463489532
