case,cdiv_uf,tramp_us,cfly_uf,vc1_final_v,vc2_final_v,vc3_final_v,ratio21,ratio31,ladder_err,iin_pk_a,id1_pk_a,id2_pk_a,id3_pk_a
e15_c500_t100_f0p6,500.0,100.0,0.6,35.9523582459,23.9442977905,11.964969635,0.666000756523,0.332800690102,0.0065635045372,60.4785003662,0.216510623693,0.144196242094,0.0720548853278
e15_c150_t100_f3,150.0,100.0,3.0,35.2327537537,23.1041946411,11.4377202988,0.655758979348,0.324633163185,0.105494260788,22.473526001,1.23399496078,0.809203326702,0.40059569478
e15_c200_t100_f3,200.0,100.0,3.0,35.4250221252,23.3255462646,11.5759534836,0.65844831888,0.326773359312,0.0794110563072,28.1830940247,1.18565165997,0.780690312386,0.387439370155
e15_c250_t100_f3,250.0,100.0,3.0,35.537940979,23.4576625824,11.6588783264,0.660073767252,0.328068481326,0.0638591713379,33.7205047607,1.14980137348,0.758953809738,0.3772136271
e15_c300_t20_f3,300.0,20.0,3.0,35.7104911804,23.6104354858,11.7464847565,0.661162440095,0.328936521683,0.0454000367055,195.900588989,5.61581325531,3.71296477318,1.84724617004
e15_c300_t50_f3,300.0,50.0,3.0,35.6359138489,23.5611286163,11.7219543457,0.661162464256,0.328936544055,0.0515702830421,78.3603057861,2.24632310867,1.48518455029,0.738897800446
e15_c300_t75_f3,300.0,75.0,3.0,35.619342804,23.5501728058,11.7165031433,0.661162473867,0.328936533383,0.0529413488178,52.2402114868,1.49754881859,0.990123033524,0.49259853363
e15_c300_t150_f3,300.0,150.0,3.0,35.602771759,23.5392150879,11.7110519409,0.661162429914,0.3289365227,0.0543124940661,26.1201095581,0.748775243759,0.495062083006,0.246299535036
e15_c300_t200_f3,300.0,200.0,3.0,35.5986289978,23.5364761353,11.7096891403,0.661162432315,0.328936520028,0.05465526051,19.5900821686,0.561581075191,0.371296346188,0.18472455442
e15_c350_t100_f3,350.0,100.0,3.0,35.6618270874,23.6060791016,11.7526712418,0.661942503499,0.329558864524,0.0464177926384,44.631729126,1.10365200043,0.730554223061,0.36371833086
e15_c400_t100_f3,400.0,100.0,3.0,35.6992263794,23.6517715454,11.7817049027,0.662528966148,0.33002689687,0.0410555998487,50.1305961609,1.08988654613,0.722081363201,0.359691858292
e15_c500_t100_f3,500.0,100.0,3.0,35.7524452209,23.7164535522,11.8227577209,0.663351930356,0.33068389163,0.0334611468849,61.4376449585,1.07581460476,0.713643670082,0.355754584074
e15_c500_t100_f8p7,500.0,100.0,8.7,35.2890548706,23.1903572082,11.4951705933,0.65715438663,0.325743226488,0.095552709368,63.6761550903,3.07558202744,2.02113223076,1.00185000896
