case,tsoft_us,i_limit_a,state_final,vout_at_25pct_v,vout_at_50pct_v,vout_at_75pct_v,vout_at_tsoft_v,vout_final_v,vout_peak_v,il1_max_a,il1_min_a,il1_max_late_a,il1_min_late_a,late_window_current_swing_a,vc1_final_v,within_current_bound,vout_within_5pct_of_1v,machine_parked_late,grade
r04e5_tsoft_50us_ilimit_10a,50.0,10.0,4.0,0.000288202966738,6.60822879942e-05,1.51519504149e-05,3.47417720199e-06,1.06944548861e-06,0.00107704219408,14.189245224,-14.1705741882,2.96121925203e-07,-2.94900445397e-07,5.910223706e-07,0.000343491484387,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_50us_ilimit_50a,50.0,50.0,4.0,0.00132860726144,0.000304638477842,6.9850228158e-05,1.60158981557e-05,4.93012430525e-06,0.00498731387779,65.4953384399,-14.1705741882,1.35918764954e-06,-1.35648338073e-06,2.71567103027e-06,0.00197083203011,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_50us_ilimit_150a,50.0,150.0,3.0,0.00158667530764,0.000154908660177,1.51238764431e-05,1.47655054561e-06,2.29563909215e-07,0.0118860313669,155.702331543,-14.1705741882,-7.11238826625e-05,-0.00066371883047,0.0005925949478075,0.00773059133263,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_100us_ilimit_10a,100.0,10.0,4.0,6.60822879942e-05,3.47417720199e-06,1.82649252539e-07,9.60207488573e-09,9.09450348363e-10,0.00107704219408,14.189245224,-14.1705741882,-2.44203463007e-10,-2.47371151341e-10,3.16768833399998e-12,0.000343491228752,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_100us_ilimit_50a,100.0,50.0,4.0,0.000304638477842,1.60158981557e-05,8.42008682587e-07,4.42640373493e-08,4.1911807358e-09,0.00498731387779,65.4953384399,-14.1705741882,-1.86022919291e-09,-1.87427207088e-09,1.4042877970000025e-11,0.00197083014041,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_100us_ilimit_150a,100.0,150.0,3.0,0.000154908660177,1.47655054561e-06,1.40649934022e-08,1.24859990073e-10,-6.05045354096e-12,0.0118860313669,155.702331543,-14.1705741882,-5.98250426975e-09,-9.24757531565e-08,8.649324888675e-08,0.00773058320043,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_200us_ilimit_10a,200.0,10.0,4.0,3.47417720199e-06,9.60207488573e-09,2.60791119146e-11,-3.88691557056e-13,-4.6139161285e-13,0.00107704219408,14.189245224,-14.1705741882,-2.47490111738e-10,-2.47490611338e-10,4.996000000169831e-16,0.00034349068347,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_200us_ilimit_50a,200.0,50.0,4.0,1.60158981557e-05,4.42640373493e-08,1.1885412988e-10,-3.16200617778e-12,-3.49715113639e-12,0.00498731387779,65.4953384399,-14.1705741882,-1.87481985492e-09,-1.87482251945e-09,2.6645300002996314e-15,0.00197082595318,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_200us_ilimit_150a,200.0,150.0,3.0,1.47655054561e-06,1.24859990073e-10,-9.28122268362e-12,-9.2934011181e-12,-9.29339591393e-12,0.0118860313669,155.702331543,-14.1705741882,-4.97786389886e-09,-4.97787011611e-09,6.217250000000783e-15,0.00773056597447,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_500us_ilimit_10a,500.0,10.0,4.0,5.04377034509e-10,-4.61847465653e-13,-4.62049127258e-13,-4.62048097265e-13,-4.62047229904e-13,0.00107704219408,14.189245224,-14.1705741882,-2.47488446403e-10,-2.47489417848e-10,9.714449999809472e-16,0.000343489024552,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_500us_ilimit_50a,500.0,50.0,4.0,2.32379958213e-09,-3.49925241106e-12,-3.50017887937e-12,-3.50017085628e-12,-3.50016435106e-12,0.00498731387779,65.4953384399,-14.1705741882,-1.87480742042e-09,-1.8748123054e-09,4.88498000016455e-15,0.00197081338033,True,False,True,CONTROLLER_GUARD_PASS
r04e5_tsoft_500us_ilimit_150a,500.0,150.0,3.0,-8.01469069751e-12,-9.29339417921e-12,-9.29337249517e-12,-9.29335081112e-12,-9.29333346389e-12,0.0118860313669,155.702331543,-14.1705741882,-4.97783059217e-09,-4.9778416944e-09,1.1102229999751743e-14,0.00773051475173,True,False,True,CONTROLLER_GUARD_PASS
