case,th_ns,ncyc,vc1_cyc1_v,vc2_cyc1_v,vc3_cyc1_v,vc1_final_v,vc2_final_v,vc3_final_v,ladder_err_cyc1,ladder_err_final,trend,vout_final_v,il1_max_a,il1_min_a,il2_max_a,il2_min_a,il3_max_a,il3_min_a,ics1_max_a,ics1_min_a,ics2_max_a,ics2_min_a,ics3_max_a,ics3_min_a,ics1_inrush_cyc1_a,ics1_stateb_cyc1_max_a,ics1_stateb_cyc1_min_a,ics2_stateb_cyc1_max_a,ics2_stateb_cyc1_min_a,ics2_statec_cyc1_max_a,ics2_statec_cyc1_min_a,ics3_statec_cyc1_max_a,ics3_statec_cyc1_min_a,max_abs_current_a,current_note,grade
r04e6_th_200ns_ncyc_1,200.0,1,12.7816162109,2.08325767517,0.411913871765,12.7816162109,2.08325767517,0.411913871765,2.523826546140278,2.523826546140278,SINGLE_CYCLE_NO_TREND,0.0961863622069,1549.40478516,-699.605285645,246.114181519,-46.1841621399,31.7031497955,-14.5344409943,1231993.625,-703.713378906,2149.32055664,-116.698890686,141.623504639,-7.26722049713,4574.31396484,233.574707031,-703.712524414,703.710021973,-116.698890686,50.3676834106,-116.697296143,116.697296143,-7.26722049713,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",SENSITIVITY_ONLY
r04e6_th_200ns_ncyc_3,200.0,3,12.784734726,2.08325767517,0.411913871765,23.6602573395,8.34182047844,3.15796995163,2.5237399207208333,1.7320306135541665,IMPROVING,0.197006046772,1549.40478516,-699.605285645,445.396270752,-65.2462463379,144.79057312,-66.3799667358,1231993.625,-1399.75244141,2661.25439453,-493.019958496,741.595825195,-33.1899833679,4574.31396484,233.574707031,-703.712524414,703.710021973,-116.698890686,49.1587600708,-116.697296143,116.697296143,-7.25959205627,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",SENSITIVITY_ONLY
r04e6_th_200ns_ncyc_5,200.0,5,12.784734726,2.08325767517,0.411913871765,28.8054103851,13.6091446877,7.25918149948,2.5237399207208333,1.0278702245808333,IMPROVING,0.288001716137,1549.40478516,-699.605285645,456.819000244,-65.2462463379,184.552688599,-84.6091918945,1231993.625,-1466.18261719,2661.25439453,-649.444580078,741.595825195,-42.304599762,4574.31396484,233.574707031,-703.712524414,703.710021973,-116.698890686,49.1587600708,-116.697296143,116.697296143,-7.25959205627,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",SENSITIVITY_ONLY
r04e6_th_200ns_ncyc_10,200.0,10,12.784734726,2.08325767517,0.411913871765,35.0180625916,23.1950666904,17.6738624573,2.5237399207208333,0.5336367984638889,IMPROVING,0.437320232391,1549.40478516,-699.605285645,456.819000244,-65.2462463379,185.685043335,-85.0515060425,1231993.625,-1466.18261719,2661.25439453,-667.309753418,741.595825195,-42.5257568359,4574.31396484,233.574707031,-703.712524414,703.710021973,-116.698890686,49.1587600708,-116.697296143,116.697296143,-7.25959205627,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",SENSITIVITY_ONLY
r04e6_th_1000ns_ncyc_1,1000.0,1,21.553894043,11.186372757,12.4103717804,21.553894043,11.186372757,12.4103717804,0.9693795045194445,0.9693795045194445,SINGLE_CYCLE_NO_TREND,0.425846427679,2205.27856445,-925.142822266,1178.20092773,-582.253601074,583.056945801,-118.04322052,1231993.625,-2845.27685547,4053.03149414,-1534.45874023,1549.65490723,-59.0216140747,4574.31396484,-177.889160156,-2845.22314453,2845.22509766,-1534.45874023,98.5195770264,-1534.35656738,1534.35668945,-59.0216140747,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",SENSITIVITY_ONLY
r04e6_th_1000ns_ncyc_3,1000.0,3,21.5562334061,11.1863708496,12.4103722572,32.7060546875,27.4656295776,28.1905391216,0.9693146414194446,1.5851113067694445,NOT_IMPROVING,0.525602340698,2205.27856445,-925.142822266,1178.20092773,-582.253601074,583.056945801,-118.04322052,1231993.625,-2845.27685547,4053.03149414,-1534.45874023,1549.65490723,-59.0216140747,4574.31396484,-177.889160156,-2845.22314453,2845.22509766,-1534.45874023,98.5195770264,-1534.35656738,1534.35668945,-59.0216140747,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",NOT_CONVERGING
r04e6_th_1000ns_ncyc_5,1000.0,5,21.5562334061,11.1863708496,12.4103722572,39.3537902832,36.4866065979,36.9218877554,0.9693146414194446,2.6902600957291662,NOT_IMPROVING,0.421754390001,2205.27856445,-925.142822266,1178.20092773,-582.253601074,583.056945801,-118.04322052,1231993.625,-2845.27685547,4053.03149414,-1534.45874023,1549.65490723,-59.0216140747,4574.31396484,-177.889160156,-2845.22314453,2845.22509766,-1534.45874023,98.5195770264,-1534.35656738,1534.35668945,-59.0216140747,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",NOT_CONVERGING
r04e6_th_1000ns_ncyc_10,1000.0,10,21.5562334061,11.1863708496,12.4103722572,45.9161911011,45.2608804703,45.3757061958,0.9693146414194446,3.9426286220541664,NOT_IMPROVING,0.149729117751,2205.27856445,-925.142822266,1178.20092773,-582.253601074,583.056945801,-118.04322052,1231993.625,-2845.27685547,4053.03149414,-1534.45874023,1549.65490723,-59.0216140747,4574.31396484,-177.889160156,-2845.22314453,2845.22509766,-1534.45874023,98.5195770264,-1534.35656738,1534.35668945,-59.0216140747,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",NOT_CONVERGING
r04e6_th_5000ns_ncyc_1,5000.0,1,23.8037705421,11.9024661779,11.9035738707,23.8037705421,11.9024661779,11.9035738707,0.8508835716375,0.8508835716375,SINGLE_CYCLE_NO_TREND,0.0571009032428,2205.27856445,-1507.06750488,1349.0012207,-744.799377441,679.735595703,-46.0753517151,1231993.625,-3425.88256836,4569.18164062,-1711.21826172,1713.2364502,-56.2741584778,4574.31396484,112.823043823,-3425.79589844,3425.80297852,-1711.21826172,56.2741355896,-1711.09191895,1711.09191895,-56.2741584778,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",SENSITIVITY_ONLY
r04e6_th_5000ns_ncyc_3,5000.0,3,23.8059120178,11.9024664164,11.9035743475,34.3499872684,27.6105064154,27.6111325026,0.8508240365305556,1.497199162847222,NOT_IMPROVING,0.0247363578528,2205.27856445,-1507.06750488,1349.0012207,-744.799377441,679.735595703,-46.0753517151,1231993.625,-3425.88256836,4569.18164062,-1711.21826172,1713.2364502,-56.2741584778,4574.31396484,112.823043823,-3425.79589844,3425.80297852,-1711.21826172,56.2741355896,-1711.09191895,1711.09191895,-56.2741584778,1231993.625,"peak |I| = 1.23e+06 A exceeds 1000 A (descriptive flag only, no source-given threshold)",NOT_CONVERGING
